"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,US,A,US 3253971 A,042-132-962-457-983,1966-05-31,1966,US 17510862 A,1962-02-23,US 17510862 A,1962-02-23,Process of producing product with a reflective surface,,FIRESTONE TIRE & RUBBER CO,ANGLE GARLING RICHARD,HOOKER CHEMICALS & PLASTICS CORP. A N.Y. CORP. AND WHOLLY-OWNED SUBSIDIARY OF OCCIDENTAL PETROLEUM CORPORATION A CORP. OF CA (1980-11-26);;OCCIDENTAL CHEMICAL CORPORATION (1982-03-30),https://lens.org/042-132-962-457-983,Granted Patent,no,6,20,1,1,0,C08J5/124;;C08J5/124;;E01F9/524;;E01F9/524;;G02B5/128;;G02B5/128;;Y10T156/1089;;Y10T156/1089,C08J5/12;;E01F9/04;;G02B5/128,B5S S17X          KA          -;;B5S S17Y          KA          -;;B5S S19X          KA          -;;B5S S22X          KA          -;;B5S S22Y          KA          -;;B5S S220          KA          -;;B5S S221          KA          -;;B5S S229          KA          -;;B5S S23Y          KA          -;;B5S S234          KA          -;;B5S S238          KA          -;;B5S S25X          KA          -;;B5S S25Y          KA          -;;B5S S250          KA          -;;B5S S252          KA          -;;B5S S253          KA          -;;B5S S254          KA          -;;B5S S255          KA          -;;B5S S258          KA          -;;B5S S26Y          KA          -;;B5S S262          KA          -;;B5S S265          KA          -;;B5S S266          KA          -;;B5S S27Y          KA          -;;B5S S270          KA          -;;B5S S273          KA          -;;B5S S29Y          KA          -;;B5S S290          KA          -;;B5S S292          KA          -;;B5S S30X          KA          -;;B5S S30Y          KA          -;;B5S S308          KA          -;;B5S S316          KA          -;;B5S S371          KA          -;;B5S S393          KA          -;;B5S S42X          KA          -;;B5S S423          KA          -;;B5S S424          KA          -;;B5S S428          KA          -;;B5S S449          KA          -;;B5S S540          KA          -;;B5S S541          KA          -;;B5S S548          KA          -;;B5S S55X          KA          -;;B5S S55Y          KA          -;;B5S S556          KA          -;;B5S S570          KA          -;;B5S S573          KA          -;;B5S S62X          KA          -;;B5S S62Y          KA          -;;B5S S620          KA          -;;B5S S629          KA          -;;B5S S63X          KA          -;;B5S S653          KA          -;;B5S S654          KA          -;;B5S S656          KA          -;;B5S S670          KA          -;;B5S S671          KA          -;;B5S S678          KA          -;;B5S S681          KA          -;;B5S S682          KA          -;;B5S S688          KA          -;;B5S S69X          KA          -;;B5S S69Y          KA          -;;B5S S690          KA          -;;B5S S693          KA          -;;B5S S696          KA          -;;B5S S71X          KA          -;;B5S S710          KA          -;;B5S S714          KA          -;;B5S S727          KA          -;;B5S S73Y          KA          -;;B5S S731          KA          -;;B5S S732          KA          -;;B5S S738          KA          -;;B5S S748          KA          -;;B5S S755          KA          -;;B5S S756          KA          -;;B5S S758          KA          -;;B5S S76X          KA          -;;B5S S763          KA          -;;B5S S765          KA          -;;B5S S769          KA          -;;B5S S781          KA          -;;B5S S807          KA          -,0,0,,,,EXPIRED
2,US,A,US 3527146 A,180-863-693-453-388,1970-09-08,1970,US 3527146D A,1969-02-10,US 79818369 A,1969-02-10,NON-SKID TRAFFIC BEARING SURFACES,,PORTER PAINT CO,GARLING RICHARD A,,https://lens.org/180-863-693-453-388,Granted Patent,no,0,18,1,1,0,E01C7/356;;E01C7/356,E01C7/35,94/5,0,0,,,,EXPIRED
3,US,A,US 5523654 A,109-639-971-399-094,1996-06-04,1996,US 26128794 A,1994-06-16,US 26128794 A,1994-06-16,Flashtube trigger circuit with anode voltage boost feature,"This circuit facilitates the triggerability of a remote three wire flashtube and trigger coil assembly at a much lower than normal anode power supply voltage. The discharge of the trigger capacitor produces the usual trigger-event in the trigger coil. Simultaneously, a trigger boost capacitor boosts the flashtube anode voltage to approximate the supply voltage plus the voltage across the trigger coil primary winding. As a result, the flashtube anode voltage is essentially doubled at the outset of each trigger event.",TOMAR ELECTRONICS INC,SIKORA THOMAS R;;GARLING RICHARD J,TOMAR ELECTRONICS INC. AN ARIZONA CORPORATION (1994-06-02),https://lens.org/109-639-971-399-094,Granted Patent,yes,4,29,1,1,0,H05B41/32;;H05B41/32,H05B41/32,315241R;;X315241P;;X315241S;;315/219,1,0,,,1992 Heimann Optoelectronics Flashtube Guide:,EXPIRED
4,US,A,US 3383337 A,171-587-100-538-85X,1968-05-14,1968,US 21421462 A,1962-08-02,US 21421462 A,1962-08-02,Method of treating a plastisol composition containing an epoxy resin adhesive,,FIRESTONE TIRE & RUBBER CO,GARLING RICHARD A;;HAUSCH WALTER R;;THOMAS CHARLES W,HOOKER CHEMICALS & PLASTICS CORP. A N.Y. CORP. AND WHOLLY-OWNED SUBSIDIARY OF OCCIDENTAL PETROLEUM CORPORATION A CORP. OF CA (1980-11-26);;OCCIDENTAL CHEMICAL CORPORATION (1982-03-30),https://lens.org/171-587-100-538-85X,Granted Patent,no,22,12,1,1,0,C08J9/32;;C08L27/06;;C08L63/00;;C09J163/00;;C09J2463/00;;C08K5/10;;C08K5/15;;C08L2666/04;;C08L27/06;;C08L63/00;;C09J163/00;;C08J9/32;;C09J2463/00;;C08K5/10;;C08K5/15;;C08L2666/04,C08J9/32;;C08L27/06;;C08L63/00;;C09J163/00,260/2.5,0,0,,,,EXPIRED
