"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,US,B2,US 11555288 B2,044-111-456-150-284,2023-01-17,2023,US 202016842424 A,2020-04-07,US 202016842424 A;;US 201962830534 P,2019-04-07,Power rake and multi-purpose bucket combo attachment,"A power rake and multi-purpose bucket combo attachment includes a power rake drum, a multi-purpose bucket and a frame. The multi-purpose bucket is configured to dig, scoop, lift, carry, clamp, pinch or hold. The frame is configured to hold the power rake drum and the multi-purpose bucket in positions for operation on a loader machine. The frame also includes a plate configured for attachment to a loader machine. Wherein, the power rake and multi-purpose bucket combo attachment is configured to combine the power rake drum and the multi-purpose bucket that can dig, scoop, lift, carry, clamp, pinch or hold in a single attachment, whereby the power rake multi-purpose bucket combo attachment provides operations of both the power rake drum and the multi-purpose bucket.",CONSTRUCTION IMPLEMENTS DEPOT INC,BROADWAY WILLIAM;;BLEDSOE HAYDEN;;WILLIAMS JONATHAN,CONSTRUCTION IMPLEMENTS DEPOT INC (2020-04-07),https://lens.org/044-111-456-150-284,Granted Patent,yes,19,0,2,2,0,E02F3/325;;E02F3/3414;;E02F3/407;;E02F7/06;;E02F3/404;;E02F3/96;;E02F3/413;;E02F3/3414;;E02F3/404;;E01H1/04;;A01B43/00;;E02F3/40,E01H1/04;;A01B43/00;;E02F3/34;;E02F3/40;;E02F3/413;;E02F3/96,,0,0,,,,ACTIVE
2,US,A1,US 2020/0318312 A1,082-966-050-499-365,2020-10-08,2020,US 202016842424 A,2020-04-07,US 202016842424 A;;US 201962830534 P,2019-04-07,POWER RAKE AND MULTI-PURPOSE BUCKET COMBO ATTACHMENT,"A power rake and multi-purpose bucket combo attachment includes a power rake drum, a multi-purpose bucket and a frame. The multi-purpose bucket is configured to dig, scoop, lift, carry, clamp, pinch or hold. The frame is configured to hold the power rake drum and the multi-purpose bucket in positions for operation on a loader machine. The frame also includes a plate configured for attachment to a loader machine. Wherein, the power rake and multi-purpose bucket combo attachment is configured to combine the power rake drum and the multi-purpose bucket that can dig, scoop, lift, carry, clamp, pinch or hold in a single attachment, whereby the power rake multi-purpose bucket combo attachment provides operations of both the power rake drum and the multi-purpose bucket.",CONSTRUCTION IMPLEMENTS DEPOT INC,BROADWAY WILLIAM;;BLEDSOE HAYDEN;;WILLIAMS JONATHAN,CONSTRUCTION IMPLEMENTS DEPOT INC (2020-04-07),https://lens.org/082-966-050-499-365,Patent Application,yes,0,0,2,2,0,E02F3/325;;E02F3/3414;;E02F3/407;;E02F7/06;;E02F3/404;;E02F3/96;;E02F3/413;;E02F3/3414;;E02F3/404;;E01H1/04;;A01B43/00;;E02F3/40,E02F3/96;;E02F3/34;;E02F3/413,,0,0,,,,ACTIVE
3,US,S,US D0372456 S,154-321-922-280-558,1996-08-06,1996,US 3891795 F,1995-05-16,US 3891795 F,1995-05-16,Battery charger,,HEWLETT PACKARD CO,COOPER STEPHEN V;;SALVATORI PHILLIP H;;ANDREWS JONATHAN N;;BRINK GREGORY D;;BLEDSOE JAMES D;;BLUMBERG-DOMINGUEZ WENDY;;BURTON DAVID L,HEWLETT-PACKARD COMPANY (1995-05-25);;HEWLETT-PACKARD COMPANY A DELAWARE CORPORATION (1998-05-20);;AGILENT TECHNOLOGIES INC (1999-11-01);;KONINKLIJKE PHILIPS ELECTRONICS N.V (2001-08-01),https://lens.org/154-321-922-280-558,Design Right,yes,3,3,1,1,0,,,D13/108,0,0,,,,EXPIRED
4,US,S,US D0372534 S,110-653-439-672-943,1996-08-06,1996,US 3891995 F,1995-05-16,US 3891995 F,1995-05-16,Defibrillator,,HEWLETT PACKARD CO,ANDREWS JONATHAN N;;COOPER STEPHEN V;;SHEPARD GARY N;;BLEDSOE JAMES D;;BLUMBERG-DOMINGUEZ WENDY;;BENVEGAR CARL E;;GEMBALA DAVID J,HEWLETT-PACKARD COMPANY (1995-05-25);;HEWLETT-PACKARD COMPANY A DELAWARE CORPORATION (1998-05-20);;AGILENT TECHNOLOGIES INC (1999-11-01);;KONINKLIJKE PHILIPS ELECTRONICS N.V (2001-08-01),https://lens.org/110-653-439-672-943,Design Right,yes,5,9,1,1,0,,,D24/168,0,0,,,,EXPIRED
