"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,TW,A,TW 200402991 A,028-139-382-170-737,2004-02-16,2004,TW 92116299 A,2003-06-16,US 17167502 A,2002-06-17,Method and apparatus for implementing a scaled upgrading of an upgradeable set-top box,"An upgradeable set-top box for converting a signal is provided. The upgradeable set-top box is provided with a housing, including an input port for receiving an input signal, an output port for transmitting an output signal, an upgrade slot formed within a first side of the housing, and an expansion port. The upgradeable set-top box is further provided with a tuner for converting the input signal to an output signal. An upgrade module formed to removably fit within the upgrade slot, and an expansion box, removably attachable to the housing, provide for scaled upgrading of the functionality of the upgradeable set-top box. Basic functions of a digital receiver are initially incorporated in the upgradeable set-top box. Next, an upgrade module is joined to the upgradeable set-top box to allow a next stage upgrade. The next-stage upgrade will provide additional functions to the upgradeable set-top box such as standard television tuner and remote control capability. Finally, an expansion box can be attached to the upgradeable set-top box and upgrade module to provide further expansion of the functionality of the set-top box.",ABS CBN BROADCASTING CORP,UMIPIG JOSE RIZALDE M;;BERTOL HOMER G;;ARGUELLES JOSEPH M,,https://lens.org/028-139-382-170-737,Patent of Addition,no,0,0,4,4,0,H04N21/4185;;H04N21/4185;;H04N7/163;;H04N7/163;;H04N21/4183;;H04N21/4183;;H04N21/4184;;H04N21/4184;;H04N21/4263;;H04N21/4263;;H04N21/42676;;H04N21/42676;;H04N21/4782;;H04N21/4782,H04N5/44;;H04N7/16,,0,0,,,,PENDING
2,WO,A2,WO 2003/107537 A2,040-817-373-896-653,2003-12-24,2003,IB 0302791 W,2003-06-13,US 17167502 A,2002-06-17,METHOD AND APPARATUS FOR IMPLEMENTING A SCALED UPGRADING OF AN UPGRADEABLE SET-TOP BOX,"An upgradeable set-top box for converting a signal is provided. The upgradeable set-top box is provided with a housing, including an input port for receiving an input signal, an output port for transmitting an output signal, an upgrade slot formed within a first side of the housing, and an expansion port. The upgrade set-top box is further provided with a tuner for converting the input signal to an output signal. An upgrade module formed to removably fit within the upgrade slot, and an expansion box, removably attachable to the housing (fig. 4), provide for scaled upgrading of the functionality of the upgradeable set-top box. Basic functions of a digital receiver are initially incorporated in the upgradeable set-top box. Next, an upgrade module is joined to the upgradeable set-top box to allow a next stage upgrade.",ABS CBN BROADCASTING CORP,UMIPIG JOSE RIZALDE M;;BERTOL HOMER G;;ARGUELLES JOSEPH M,,https://lens.org/040-817-373-896-653,Patent Application,yes,0,0,4,4,0,H04N21/4185;;H04N21/4185;;H04N7/163;;H04N7/163;;H04N21/4183;;H04N21/4183;;H04N21/4184;;H04N21/4184;;H04N21/4263;;H04N21/4263;;H04N21/42676;;H04N21/42676;;H04N21/4782;;H04N21/4782,H04N7/16,,0,0,,,,PENDING
3,US,A1,US 2003/0233667 A1,140-225-435-819-730,2003-12-18,2003,US 17167502 A,2002-06-17,US 17167502 A,2002-06-17,Method and apparatus for implementing a scaled upgrading of an upgradeable set-top box,"
   An upgradeable set-top box for converting a signal is provided. The upgradeable set-top box is provided with a housing, including an input port for receiving an input signal, an output port for transmitting an output signal, an upgrade slot formed within a first side of the housing, and an expansion port. The upgradeable set-top box is further provided with a tuner for converting the input signal to an output signal. An upgrade module formed to removably fit within the upgrade slot, and an expansion box, removably attachable to the housing, provide for scaled upgrading of the functionality of the upgradeable set-top box. Basic functions of a digital receiver are initially incorporated in the upgradeable set-top box. Next, an upgrade module is joined to the upgradeable set-top box to allow a next stage upgrade. The next-stage upgrade will provide additional functions to the upgradeable set-top box such as standard television tuner and remote control capability. Finally, an expansion box can be attached to the upgradeable set-top box and upgrade module to provide further expansion of the functionality of the set-top box. 
",ABS CBN BROADCASTING CORP,UMIPIG JOSE RIZALDE M;;BERTOL HOMER G;;ARGUELLES JOSEPH M,ABS-CBN BROADCASTING CORPORATION (2002-06-06),https://lens.org/140-225-435-819-730,Patent Application,yes,24,51,4,4,0,H04N21/4185;;H04N21/4185;;H04N7/163;;H04N7/163;;H04N21/4183;;H04N21/4183;;H04N21/4184;;H04N21/4184;;H04N21/4263;;H04N21/4263;;H04N21/42676;;H04N21/42676;;H04N21/4782;;H04N21/4782,H04N7/16,725/152;;725/68;;725/105,0,0,,,,DISCONTINUED
4,WO,A3,WO 2003/107537 A3,021-229-071-318-268,2004-05-13,2004,IB 0302791 W,2003-06-13,US 17167502 A,2002-06-17,METHOD AND APPARATUS FOR IMPLEMENTING A SCALED UPGRADING OF AN UPGRADEABLE SET-TOP BOX,"An upgradeable set-top box for converting a signal is provided. The upgradeable set-top box is provided with a housing, including an input port for receiving an input signal, an output port for transmitting an output signal, an upgrade slot formed within a first side of the housing, and an expansion port. The upgrade set-top box is further provided with a tuner for converting the input signal to an output signal. An upgrade module formed to removably fit within the upgrade slot, and an expansion box, removably attachable to the housing (fig. 4), provide for scaled upgrading of the functionality of the upgradeable set-top box. Basic functions of a digital receiver are initially incorporated in the upgradeable set-top box. Next, an upgrade module is joined to the upgradeable set-top box to allow a next stage upgrade.",ABS CBN BROADCASTING CORP,UMIPIG JOSE RIZALDE M;;BERTOL HOMER G;;ARGUELLES JOSEPH M,,https://lens.org/021-229-071-318-268,Search Report,yes,4,0,4,4,0,H04N21/4185;;H04N21/4185;;H04N7/163;;H04N7/163;;H04N21/4183;;H04N21/4183;;H04N21/4184;;H04N21/4184;;H04N21/4263;;H04N21/4263;;H04N21/42676;;H04N21/42676;;H04N21/4782;;H04N21/4782,H04N7/16,,0,0,,,,PENDING
5,US,B2,US 9116607 B2,052-444-990-649-312,2015-08-25,2015,US 201113104993 A,2011-05-11,US 201113104993 A,2011-05-11,Interface including selectable items corresponding to single or multiple data items,"An interface may include a first portion of a linear scale having first upper and lower bounds and a first plurality of indicators identifying first demarcations of the linear scale between the first upper and lower bounds. A first selectable item corresponding to a single data item and a second selectable corresponding to multiple data items may be arranged along the linear scale. When the second selectable item is selected, the interface may be modified to include a second portion of the linear scale having second upper and lower bounds and the multiple data items corresponding to the second selectable item.",HALLOCK JOSEPH;;KUMAR DILEEP;;COLEMAN KENNETH PATRICK;;ARGUELLES LARA;;YETZER TRINH VO;;MICROSOFT TECHNOLOGY LICENSING LLC,HALLOCK JOSEPH;;KUMAR DILEEP;;COLEMAN KENNETH PATRICK;;ARGUELLES LARA;;YETZER TRINH VO,MICROSOFT TECHNOLOGY LICENSING LLC (2014-10-14);;MICROSOFT CORPORATION (2011-05-04),https://lens.org/052-444-990-649-312,Granted Patent,yes,56,1,2,2,0,G06F3/04842;;G06F3/04842;;G06F3/0481;;G06F3/0482;;G06F3/0485;;G06F3/0485;;G06F9/451;;G06F9/451;;G06F40/166;;G06F2203/04806;;G06F2203/04806;;G06Q10/10;;G06Q10/10,G06F3/048;;G06F3/0481;;G06F3/0482;;G06F3/0484;;G06F3/0485;;G06F9/44;;G06F17/24;;G06Q10/10,,16,3,026-510-728-695-751;;016-118-884-439-240;;026-510-728-695-751,pmc2759552;;10.1093/bioinformatics/btp472;;19654113;;10.1007/978-3-540-38884-5;;pmc2759552;;10.1093/bioinformatics/btp472;;19654113,"Integrated Genome Browser User's Gude, Oct. 2009, Copyright (c) 2000-2007 Affymetrix, Inc, 108 pages.;;The Integrated Genome Browser: free software for distribution and exploration of genome-scale datasets. Bioinformatics. Oct. 15, 2009;25(20):2730-1.;;Kimmerly, et al., ""Scrolling Large Data Sets"", U.S. Appl. No. 12/615,235, filed Nov. 9, 2009, pp. 28.;;""WinForms Schedule Control Quick Start Guide"", Retrieved at >, Retrieved Date: Feb. 22, 2011, pp. 20.;;""HTC Touch Dual Review"", Retrieved at <<https://anaqua.partners.extranet.microsoft.com/anaqua/Patent/PatentMainDetails.aspx?RecordId=83807614>>, Posted Date: Feb. 12, 2008, pp. 6.;;""ItemContainer Control Pattern"", MSDN, Retrieved at >, Feb. 21, 2011, 4 pages.;;""Using Aero Flip 3D"", Retrieved at >, Feb. 14, 2011, 1 page.;;""Windows Vista FastCARD"", Retrieved at >, Mar. 2008, Axzo, 6 pages.;;Integrated Genome Browser User's Guide, Oct. 2009, Affymetrix, Inc., pp. 1-108.;;Lutz, G., ""Handling Large Data Sets with C1DataGrid and C1Chart"", ComponentOne.com, Retrieved at >, Jun. 17, 2010, 5 pages.;;McElhearn, K., ""Six Tips for using the Dock Efficiently"", Macworld.com, Retrieved at >, Mar. 10, 2010, 5 pages.;;Nicol, J. et al., ""The Integrated Genome Browser: Free Software for Distribution and Exploration of Genome-scale Datasets"", Bioinformatics, 2009, vol. 25, No. 20, Oxford Journals, Oxford University Press, Oxford, UK, pp. 2730-2731.;;O'Reilly, D., ""Freeware Lets You Scroll Your Desktop Sideways"", CNET News, Retrieved at >, Jul. 8, 2010, 4 pages.;;Shannon, R., ""Objects and Properties"", YourHTMLSource.com, Retrieved at >, Mar. 21, 2011, 3 pages.;;Tanenbaum, A., Modern Operating Systems, 3rd Edition, 2008, Pearson Education, Inc., Upper Saddle River, NJ, pp. 343-347.;;Wyland, R., ""Making the Switch: PC to MAC"", Retrieved at >, Jul. 13, 2009, 12 pages.",ACTIVE
6,US,A1,US 2012/0290982 A1,000-128-461-094-605,2012-11-15,2012,US 201113104993 A,2011-05-11,US 201113104993 A,2011-05-11,INTERFACE INCLUDING SELECTABLE ITEMS CORRESPONDING TO SINGLE OR MULTIPLE DATA ITEMS,"An interface may include a first portion of a linear scale having first upper and lower bounds and a first plurality of indicators identifying first demarcations of the linear scale between the first upper and lower bounds. A first selectable item corresponding to a single data item and a second selectable corresponding to multiple data items may be arranged along the linear scale. When the second selectable item is selected, the interface may be modified to include a second portion of the linear scale having second upper and lower bounds and the multiple data items corresponding to the second selectable item.",HALLOCK JOSEPH;;KUMAR DILEEP;;COLEMAN KENNETH PATRICK;;ARGUELLES LARA;;YETZER TRINH VO;;MICROSOFT CORP,HALLOCK JOSEPH;;KUMAR DILEEP;;COLEMAN KENNETH PATRICK;;ARGUELLES LARA;;YETZER TRINH VO,MICROSOFT TECHNOLOGY LICENSING LLC (2014-10-14);;MICROSOFT CORPORATION (2011-05-04),https://lens.org/000-128-461-094-605,Patent Application,yes,3,8,2,2,0,G06F3/04842;;G06F3/04842;;G06F3/0481;;G06F3/0482;;G06F3/0485;;G06F3/0485;;G06F9/451;;G06F9/451;;G06F40/166;;G06F2203/04806;;G06F2203/04806;;G06Q10/10;;G06Q10/10,G06F3/048,715/828,0,0,,,,ACTIVE
7,US,A1,US 2012/0287114 A1,117-266-837-003-360,2012-11-15,2012,US 201113105002 A,2011-05-11,US 201113105002 A,2011-05-11,INTERFACE INCLUDING VIEWS POSITIONED IN ALONG MULTIPLE DIMENSIONS,A particular method includes generating an interface that includes a plurality of first views positioned along a first dimension. The interface also includes at least one second view positioned with respect to at least one of the first views along a second dimension. The method also includes transmitting the interface to a display device.,HALLOCK JOSEPH;;KUMAR DILEEP;;COLEMAN KENNETH PATRICK;;ARGUELLES LARA;;YETZER TRINH VO;;MICROSOFT CORP,HALLOCK JOSEPH;;KUMAR DILEEP;;COLEMAN KENNETH PATRICK;;ARGUELLES LARA;;YETZER TRINH VO,MICROSOFT TECHNOLOGY LICENSING LLC (2014-10-14);;MICROSOFT CORPORATION (2011-05-04),https://lens.org/117-266-837-003-360,Patent Application,yes,18,35,1,1,0,G06F40/197;;G06T11/206;;G06F9/451;;G06F9/451;;G06F40/197;;G06T11/206,G06T1/00;;G06F3/048,345/418;;715/784,0,0,,,,DISCONTINUED
