"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,US,A1,US 2004/0253957 A1,029-041-875-183-289,2004-12-16,2004,US 46107203 A,2003-06-13,US 46107203 A,2003-06-13,Mobile terminal control of the establishment of multimedia sessions,"
   This invention relates to methods and apparatus for allowing an end user terminal in a multimedia network to provide various options for handling a session request including accepting the request, redirecting the session, releasing the session based on user input or predefined attributes stored in the originating device and/or the terminating device. 
",PELAEZ MARIANA BENITEZ;;HUNTER KARLA RAE;;MARTIN RONALD BRUCE;;VERMA CHARU;;VERMA KAMAL K.,PELAEZ MARIANA BENITEZ;;HUNTER KARLA RAE;;MARTIN RONALD BRUCE;;VERMA CHARU;;VERMA KAMAL K,,https://lens.org/029-041-875-183-289,Patent Application,yes,3,9,1,1,0,H04L65/1069;;H04W76/20;;H04W76/10;;H04L65/1094;;H04L65/1069;;H04W76/10;;H04W76/20;;H04L65/1101,H04L29/06;;H04W76/02;;H04W76/04,455/445;;455/422.1;;455/414.1,0,0,,,,DISCONTINUED
2,US,S,US D0831309 S,178-578-785-828-170,2018-10-23,2018,US 201729603899 F,2017-05-12,US 201729603899 F,2017-05-12,Golfing hat,,MUNOZ DANIEL;;TRANG MICHAEL;;PORRO CHRISTOPHER;;SANDOVAL RONALD;;FLORES ELIJAH;;FRANK ERIC;;CASTRO EMILIO;;BENITEZ MATTHEW,MUNOZ DANIEL;;TRANG MICHAEL;;PORRO CHRISTOPHER;;SANDOVAL RONALD;;FLORES ELIJAH;;FRANK ERIC;;CASTRO EMILIO;;BENITEZ MATTHEW,,https://lens.org/178-578-785-828-170,Design Right,no,0,4,1,1,0,,,0203;;D 2882;;D2/866,0,0,,,,ACTIVE
3,WO,A1,WO 2021/212102 A1,192-102-652-034-311,2021-10-21,2021,US 2021/0027945 W,2021-04-19,US 202063011426 P,2020-04-17,A TUNABLE MICROFLUIDIC DIELECTROPHORESIS SORTER,"A microfluidic sorting device and method employing dielectrophoresis (DEP) induced field flow separations are described herein. The microfluidic sorting device has a microchannel and an array of electrodes disposed along the microchannel. The electrodes may be oriented at an angle relative to the microchannel. Non-mammalian samples such as plant samples flow in the microchannel and through the electrode array. Current is passed through the electrodes causing a DEP force to be exerted on the samples. This force may generate a torque that causes one type of sample to rotate and slide along the electrodes, thus separating the samples by type. The separated samples are collected in different output channels.",UNIV CALIFORNIA;;PIONEER HI BRED INT;;CARDENAS BENITEZ BRAULIO,CARDENAS BENITEZ BRAULIO;;AGHAAMOO MOHAMMAD;;BIRO RONALD;;DAY KEVIN;;LEE ABRAHAM;;MENDEZ EDWIN;;SAMUEL PON;;SCHARES JUSTIN;;YUN YUE,,https://lens.org/192-102-652-034-311,Patent Application,yes,5,1,4,9,0,B01D57/02;;G01N2015/1006;;B03C5/005;;B03C5/026;;B03C2201/26;;G01N15/1031;;B01L3/502761;;B01L2200/0652;;B01L2400/0424;;G01N2015/1028;;G01N15/1023;;B01L3/502761;;B01L3/502776;;B01L2200/0652;;B01L2400/0424;;B03C5/005;;B03C5/026,B01D57/02;;B01L3/00;;B03C5/00;;B81B1/00;;G01N1/00;;G01N27/30;;G01N27/447,,0,0,,,,PENDING
4,US,A1,US 2023/0191427 A1,167-832-538-080-750,2023-06-22,2023,US 202117996168 A,2021-04-19,US 202117996168 A;;US 202063011426 P;;US 2021/0027945 W,2020-04-17,A TUNABLE MICROFLUIDIC DIELECTROPHORESIS SORTER,"A microfluidic sorting device and method employing dielectrophoresis (DEP) induced field flow separations are described herein. The microfluidic sorting device has a microchannel and an array of electrodes disposed along the microchannel. The electrodes may be oriented at an angle relative to the microchannel. Non-mammalian samples such as plant samples flow in the microchannel and through the electrode array. Current is passed through the electrodes causing a DEP force to be exerted on the samples. This force may generate a torque that causes one type of sample to rotate and slide along the electrodes, thus separating the samples by type. The separated samples are collected in different output channels",UNIV CALIFORNIA;;PIONEER HI BRED INT,AGHAAMOO MOHAMMAD;;BIRO RONALD L;;DAY KEVIN;;LEE ABRAHAM P;;MENDEZ EDWIN;;SAMUEL PON;;SCHARES JUSTIN;;YUN YUE;;CARDENAS BENITEZ BRAULIO,,https://lens.org/167-832-538-080-750,Patent Application,yes,0,0,4,9,0,B01D57/02;;G01N2015/1006;;B03C5/005;;B03C5/026;;B03C2201/26;;G01N15/1031;;B01L3/502761;;B01L2200/0652;;B01L2400/0424;;G01N2015/1028;;G01N15/1023;;B01L3/502761;;B01L3/502776;;B01L2200/0652;;B01L2400/0424;;B03C5/005;;B03C5/026,B01L3/00;;B03C5/00;;B03C5/02,,0,0,,,,PENDING
5,CA,A1,CA 3176598 A1,010-947-189-528-92X,2021-10-21,2021,CA 3176598 A,2021-04-19,US 202063011426 P;;US 2021/0027945 W,2020-04-17,A TUNABLE MICROFLUIDIC DIELECTROPHORESIS SORTER,"A microfluidic sorting device and method employing dielectrophoresis (DEP) induced field flow separations are described herein. The microfluidic sorting device has a microchannel and an array of electrodes disposed along the microchannel. The electrodes may be oriented at an angle relative to the microchannel. Non-mammalian samples such as plant samples flow in the microchannel and through the electrode array. Current is passed through the electrodes causing a DEP force to be exerted on the samples. This force may generate a torque that causes one type of sample to rotate and slide along the electrodes, thus separating the samples by type. The separated samples are collected in different output channels.",UNIV CALIFORNIA;;PIONEER HI BRED INT,CARDENAS BENITEZ BRAULIO;;AGHAAMOO MOHAMMAD;;BIRO RONALD L;;DAY KEVIN;;LEE ABRAHAM P;;MENDEZ EDWIN;;SAMUEL PON;;SCHARES JUSTIN;;YUN YUE,,https://lens.org/010-947-189-528-92X,Patent Application,no,0,0,4,9,0,B01D57/02;;G01N2015/1006;;B03C5/005;;B03C5/026;;B03C2201/26;;G01N15/1031;;B01L3/502761;;B01L2200/0652;;B01L2400/0424;;G01N2015/1028;;G01N15/1023;;B01L3/502761;;B01L3/502776;;B01L2200/0652;;B01L2400/0424;;B03C5/005;;B03C5/026,B01D57/02;;B01L3/00;;B03C5/00;;B81B1/00;;G01N1/00;;G01N27/30;;G01N27/447,,0,0,,,,PENDING
6,EP,A1,EP 4135881 A1,036-248-979-686-843,2023-02-22,2023,EP 21789065 A,2021-04-19,US 202063011426 P;;US 2021/0027945 W,2020-04-17,A TUNABLE MICROFLUIDIC DIELECTROPHORESIS SORTER,,UNIV CALIFORNIA;;PIONEER HI BRED INT,AGHAAMOO MOHAMMAD;;BIRO RONALD L;;DAY KEVIN;;LEE ABRAHAM P;;MENDEZ EDWIN;;SAMUEL PON;;SCHARES JUSTIN;;YUN YUE;;CARDENAS BENITEZ BRAULIO,,https://lens.org/036-248-979-686-843,Patent Application,yes,0,0,4,9,0,B01D57/02;;G01N2015/1006;;B03C5/005;;B03C5/026;;B03C2201/26;;G01N15/1031;;B01L3/502761;;B01L2200/0652;;B01L2400/0424;;G01N2015/1028;;G01N15/1023;;B01L3/502761;;B01L3/502776;;B01L2200/0652;;B01L2400/0424;;B03C5/005;;B03C5/026,B01D57/02;;B01L3/00;;B03C5/00;;B81B1/00;;G01N1/00;;G01N27/30;;G01N27/447,,0,0,,,,PENDING
