"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,WO,A2,WO 2003/031584 A2,041-689-143-937-002,2003-04-17,2003,US 0232310 W,2002-10-11,US 32810201 P,2001-10-11,AXON REPAIR,The present invention relates generally to methods of effecting axon repair.,UNIV DUKE;;FRIEDRICH MIESCHER INST,BOMZE HOWARD;;BULSARA KETAN;;ISKANDAR BERMANS;;CARONI PICO;;SKENE PATE,,https://lens.org/041-689-143-937-002,Patent Application,yes,0,0,7,7,0,A61K38/00;;A61K38/00;;A61K48/00;;A61K48/00;;A61P25/00;;C07K14/4702;;C07K14/4702;;Y02A50/30;;Y02A50/30,G01N33/50;;A61K38/00;;A61K45/00;;A61K48/00;;A61P25/00;;C07K14/47;;G01N33/15,,0,0,,,,PENDING
2,WO,A3,WO 2003/031584 A3,067-522-971-862-72X,2003-09-18,2003,US 0232310 W,2002-10-11,US 32810201 P,2001-10-11,AXON REPAIR,The present invention relates generally to methods of effecting axon repair.,UNIV DUKE;;NOVARTIS FORSCHUNGSSTIFFTUNG Z,BOMZE HOWARD;;BULSARA KETAN;;ISKANDAR BERMANS;;CARONI PICO;;SKENE PATE,,https://lens.org/067-522-971-862-72X,Search Report,yes,0,0,7,7,0,A61K38/00;;A61K38/00;;A61K48/00;;A61K48/00;;A61P25/00;;C07K14/4702;;C07K14/4702;;Y02A50/30;;Y02A50/30,G01N33/50;;A61K38/00;;A61K45/00;;A61K48/00;;A61P25/00;;C07K14/47;;G01N33/15,,6,5,062-738-200-977-861;;038-646-646-769-372;;067-829-111-876-52X;;004-233-854-534-202;;002-383-860-389-807,10667796;;10.1038/35000219;;10.1523/jneurosci.19-14-05810.1999;;10407022;;pmc6783087;;10516297;;pmc6782756;;10.1523/jneurosci.19-20-08778.1999;;10.1038/35000309;;10667770;;9852580;;pmc6793360;;10.1523/jneurosci.18-24-10429.1998,"CHEN ET AL.: ""Nogo-A is a myelin-associated neurite outgrowth inhibitor and an antigen for monoclonal antibody IN-1"", NATURE, vol. 403, 27 January 2000 (2000-01-27), pages 434 - 439, XP002144396;;DAVIES ET AL.: ""Robust regeneration of adult sensory axons in degenerating white matter of the adult rat spinal cord"", J. NEUROSCI., vol. 19, no. 14, 15 July 1999 (1999-07-15), pages 5810 - 5822, XP002967278;;FIDLER ET AL.: ""Comparing astroccytic cell lines that are inhibitory or permissive for axon growth: the major axon-inhibitory proteoglycan is NG2"", J. NEUROSCI., vol. 19, no. 20, 15 October 1999 (1999-10-15), pages 8778 - 8788, XP002967279;;GOLDBERG ET AL.: ""Nogo in nerve regeneration"", NATURE, vol. 403, 27 January 2000 (2000-01-27), pages 369 - 370, XP002967280;;MEIRI ET AL.: ""Neurite outgrowth stimulated by neural cell adhesion molecules requires growth-associated protein-43 (GAP-43) function and is associated with GAP-43 phosphorylation in growth cones"", J. NEUROSCI., vol. 18, no. 24, 15 December 1998 (1998-12-15), pages 10429 - 10437, XP002967281;;See also references of EP 1441742A4",PENDING
3,EP,A4,EP 1441742 A4,105-190-284-058-615,2006-05-10,2006,EP 02800992 A,2002-10-11,US 0232310 W;;US 32810201 P,2001-10-11,AXON REPAIR,,UNIV DUKE;;NOVARTIS FORSCHUNGSSTIFTUNG,BOMZE HOWARD;;BULSARA KETAN;;ISKANDAR BERMANS;;CARONI PICO;;SKENE PATE,,https://lens.org/105-190-284-058-615,Search Report,no,0,0,7,7,0,A61K38/00;;A61K48/00;;C07K14/4702;;A61P25/00;;Y02A50/30;;C07K14/4702;;A61K48/00;;A61K38/00;;Y02A50/30,A61K38/00;;A61K45/00;;G01N33/50;;A61K48/00;;A61P25/00;;C07K14/47;;G01N33/15,,5,5,024-132-454-391-970;;044-402-447-512-247;;033-949-042-929-407;;034-779-901-323-743;;118-684-344-304-77X,11135643;;10.1038/82881;;pmc6573080;;10.1523/jneurosci.17-22-08778.1997;;9348347;;pmc2175140;;10.1083/jcb.149.7.1443;;10871284;;10871285;;10.1083/jcb.149.7.1455;;pmc2175130;;11264659;;10.1046/j.1460-9568.2001.01452.x,"BOMZE HOWARD M ET AL: ""Spinal axon regeneration evoked by replacing two growth cone proteins in adult neurons"", NATURE NEUROSCIENCE, vol. 4, no. 1, January 2001 (2001-01-01), pages 38 - 43, XP008053989, ISSN: 1097-6256;;BUFFO ANNALISA ET AL: ""Targeted overexpression of the neurite growth-associated protein B-50/GAP-43 in cerebellar Purkinje cells induces sprouting after axotomy but not axon regeneration into growth-permissive transplants"", JOURNAL OF NEUROSCIENCE, vol. 17, no. 22, November 1997 (1997-11-01), pages 8778 - 8791, XP002349000, ISSN: 0270-6474;;FREY DUNJA ET AL: ""Shared and unique roles of CAP23 and GAP43 in actin regulation, neurite outgrowth, and anatomical plasticity"", JOURNAL OF CELL BIOLOGY, vol. 149, no. 7, 26 June 2000 (2000-06-26), pages 1443 - 1453, XP002349001, ISSN: 0021-9525;;LAUX THORSTEN ET AL: ""GAP43, MARCKS, and CAP23 modulate PI(4,5)P2 at plasmalemmal rafts, and regulate cell cortex actin dynamics through a common mechanism"", JOURNAL OF CELL BIOLOGY, vol. 149, no. 7, 26 June 2000 (2000-06-26), pages 1455 - 1471, XP002349002, ISSN: 0021-9525;;WEHRLE ROSINE ET AL: ""Role of GAP-43 in mediating the responsiveness of cerebellar and precerebellar neurons to axotomy"", EUROPEAN JOURNAL OF NEUROSCIENCE, vol. 13, no. 5, March 2001 (2001-03-01), pages 857 - 870, XP002349003, ISSN: 0953-816X",DISCONTINUED
4,EP,A2,EP 1441742 A2,109-461-440-847-120,2004-08-04,2004,EP 02800992 A,2002-10-11,US 0232310 W;;US 32810201 P,2001-10-11,AXON REPAIR,,UNIV DUKE;;NOVARTIS FORSCHUNGSSTIFTUNG,BOMZE HOWARD;;BULSARA KETAN;;ISKANDAR BERMANS;;CARONI PICO;;SKENE PATE,,https://lens.org/109-461-440-847-120,Patent Application,yes,0,0,7,7,4,A61K38/00;;A61K38/00;;A61K48/00;;A61K48/00;;A61P25/00;;C07K14/4702;;C07K14/4702;;Y02A50/30;;Y02A50/30,G01N33/50;;A61K38/00;;A61K45/00;;A61K48/00;;A61P25/00;;C07K14/47;;G01N33/15,,0,0,,,,DISCONTINUED
5,US,A1,US 2003/0118557 A1,166-081-688-071-648,2003-06-26,2003,US 26896702 A,2002-10-11,US 26896702 A;;US 32810201 P,2001-10-11,Axon repair,"
   The present invention relates generally to methods of effecting axon repair. 
",BOMZE HOWARD;;BULSARA KETAN;;ISKANDAR BERMANS;;CARONI PICO;;SKENE PATE,BOMZE HOWARD;;BULSARA KETAN;;ISKANDAR BERMANS;;CARONI PICO;;SKENE PATE,NOVARTIS FORSCHUNGSSTIFTUNG ZWEIGNIEDERLASSUNG FRIEDRICH MIESCHER INSTITUTE FOR BIOMEDICAL RESEARCH (2003-02-16);;DUKE UNIVERSITY (2002-11-20),https://lens.org/166-081-688-071-648,Patent Application,yes,0,3,7,7,0,A61K38/00;;A61K38/00;;A61K48/00;;A61K48/00;;A61P25/00;;C07K14/4702;;C07K14/4702;;Y02A50/30;;Y02A50/30,G01N33/50;;A61K38/00;;A61K45/00;;A61K48/00;;A61P25/00;;C07K14/47;;G01N33/15,424/93.2;;514/12;;X42445;;514/44;;424/178.1;;435/456,0,0,,,,DISCONTINUED
6,AU,A1,AU 2002/334937 A1,124-807-992-111-049,2003-04-22,2003,AU 2002/334937 A,2002-10-11,US 32810201 P;;US 0232310 W,2001-10-11,Axon repair,,NOVARTIS FORSCHUNGSSTIFFTUNG Z;;UNIV DUKE,BOMZE HOWARD;;CARONI PICO;;ISKANDAR BERMANS;;BULSARA KETAN;;SKENE PATE,,https://lens.org/124-807-992-111-049,Patent Application,no,0,0,7,7,0,A61K38/00;;A61K38/00;;A61K48/00;;A61K48/00;;A61P25/00;;C07K14/4702;;C07K14/4702;;Y02A50/30;;Y02A50/30,G01N33/50;;A61K38/00;;A61K45/00;;A61K48/00;;A61P25/00;;C07K14/47;;G01N33/15,,0,0,,,,DISCONTINUED
